{'loss': 0.2435, 'grad_norm': 1.0140502452850342, 'learning_rate': 3.0007522666983413e-05, 'epoch': 1.2}
{'loss': 0.2534, 'grad_norm': 1.0473846197128296, 'learning_rate': 2.9809557746367346e-05, 'epoch': 1.21}
{'loss': 0.2564, 'grad_norm': 0.7816523313522339, 'learning_rate': 2.9611592825751276e-05, 'epoch': 1.22}
{'loss': 0.2534, 'grad_norm': 0.557593047618866, 'learning_rate': 2.941362790513521e-05, 'epoch': 1.24}
{'loss': 0.253, 'grad_norm': 1.2609950304031372, 'learning_rate': 2.9215662984519142e-05, 'epoch': 1.25}
{'loss': 0.2526, 'grad_norm': 0.8427879214286804, 'learning_rate': 2.9017698063903075e-05, 'epoch': 1.26}
{'loss': 0.2501, 'grad_norm': 0.7681731581687927, 'learning_rate': 2.881973314328701e-05, 'epoch': 1.27}
{'loss': 0.2483, 'grad_norm': 1.3201191425323486, 'learning_rate': 2.8621768222670942e-05, 'epoch': 1.28}
{'loss': 0.2464, 'grad_norm': 1.2111839056015015, 'learning_rate': 2.842380330205488e-05, 'epoch': 1.29}
{'loss': 0.2512, 'grad_norm': 1.1816881895065308, 'learning_rate': 2.822583838143881e-05, 'epoch': 1.31}
{'loss': 0.2488, 'grad_norm': 0.7028302550315857, 'learning_rate': 2.8027873460822745e-05, 'epoch': 1.32}
{'loss': 0.2535, 'grad_norm': 0.6330277323722839, 'learning_rate': 2.7829908540206678e-05, 'epoch': 1.33}
{'loss': 0.2447, 'grad_norm': 0.7646468877792358, 'learning_rate': 2.763194361959061e-05, 'epoch': 1.34}
{'loss': 0.2516, 'grad_norm': 0.7760701775550842, 'learning_rate': 2.7433978698974544e-05, 'epoch': 1.35}
{'loss': 0.2484, 'grad_norm': 0.9967854022979736, 'learning_rate': 2.7236013778358477e-05, 'epoch': 1.37}
{'loss': 0.2325, 'grad_norm': 0.6386512517929077, 'learning_rate': 2.703804885774241e-05, 'epoch': 1.38}
{'loss': 0.2404, 'grad_norm': 0.7713993191719055, 'learning_rate': 2.6840083937126344e-05, 'epoch': 1.39}
{'loss': 0.2397, 'grad_norm': 0.8306582570075989, 'learning_rate': 2.6642119016510274e-05, 'epoch': 1.4}
